URL,TITLE,LOCATION,PRICE PER MONTH,AREA IN SQ METRE,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS,TIMESTAMP
https://www.pararius.com/apartment-for-rent/rotterdam/8dceee90/beukelsdijk,Apartment Beukelsdijk 154 A,3022 DM (Nieuwe Westen),1995,150,3,Upholstered,"Te huur aan de bekende Beukelsdijk deze zeer ruime, schitterende, deels gemeubileerde en keurig ingerichte dubbele benedenwoning uit 1920. Voorzien van fraaie stadstuin waar het heerlijk zonnig toeven is. Deze 4-kamer woning voorziet in twee slaapkamers en ruim atelier/werkruimte. Uitermate geschikt voor een stel, klein gezin of expats. Niet geschikt voor studenten.",3 weeks,Not available to book,Specifics are not available,Good,430,Apartment,Existing building,1920,Location type is not available,2,1,2,Details of balcony is not available,Present (25 m²),Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/8dceee90/rotterdam/viadaan-nijmegen/request-details,2022-08-10 21:30:20
https://www.pararius.com/house-for-rent/rotterdam/21c236fd/bergse-plaslaan,House Bergse Plaslaan,3054 AR (Hillegersberg Noord),2750,120,4,Interior is not available,House with garden for rent in Rotterdam with 2 bedrooms in the Hillegersberg Noord district.,10-08-2022,Not available to book,Specifics are not available,Excellent,720,House,Existing building,1906-1930,Location type is not available,2,Number of bathrooms is not available,3,Not present,Present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/21c236fd/rotterdam/rebid/request-details,2022-08-10 21:30:21
https://www.pararius.com/apartment-for-rent/rotterdam/5ce2c097/bredenoord,Apartment Bredenoord 228,3079 JH (Groot IJsselmonde),895,61,2,Upholstered,Beautiful upholstered apartment with balcony for rent in Rotterdam with 1 bedroom in the Groot IJsselmonde district.,10-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1973,Location type is not available,1,1,Number of floors is not available,Present,Not present,Present,Details of description of the storage is not available,No,https://www.pararius.com/contact/5ce2c097/rotterdam/wonen-hartje-rotterdam-3/request-details,2022-08-10 21:30:22
https://www.pararius.com/apartment-for-rent/rotterdam/91257cf1/willem-de-zwijgerstraat,Apartment Willem de Zwijgerstraat 21 A,3043 VA (Overschie),1095,55,2,Upholstered,Nice upholstered apartment for rent in Rotterdam with 1 bedroom in the Overschie district.,10-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1929,Location type is not available,1,1,Number of floors is not available,Not present,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/91257cf1/rotterdam/wonen-hartje-rotterdam-3/request-details,2022-08-10 21:30:23
https://www.pararius.com/apartment-for-rent/rotterdam/a46ec9c4/berkelselaan,Apartment Berkelselaan,3038 NA (Bergpolder),1275,75,4,Upholstered,Beautiful upholstered apartment with balcony for rent in Rotterdam with 3 bedrooms in the Bergpolder district.,10-08-2022,consultation,Protected townscape,Good,184,Apartment,Existing building,1933,Location type is not available,3,1,2,Present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/a46ec9c4/rotterdam/voorberg-nvm-makelaars/request-details,2022-08-10 21:30:24
https://www.pararius.com/apartment-for-rent/rotterdam/05ca298b/berkelselaan,Apartment Berkelselaan,3038 NA (Bergpolder),1050,47,3,Upholstered,Nice upholstered apartment with garden for rent in Rotterdam with 1 bedroom in the Bergpolder district.,10-08-2022,consultation,Protected townscape,Good,127,Apartment,Existing building,1933,Location type is not available,1,1,1,Not present,Present (10 m²),Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/05ca298b/rotterdam/voorberg-nvm-makelaars/request-details,2022-08-10 21:30:25
https://www.pararius.com/apartment-for-rent/rotterdam/b90079cc/joost-van-geelstraat,Apartment Joost van Geelstraat,3021 VK (Middelland),1275,70,3,Upholstered,Beautiful upholstered apartment with balcony for rent in Rotterdam with 2 bedrooms in the Middelland district.,10-08-2022,consultation,Specifics are not available,Good,217,Apartment,Existing building,1903,Location type is not available,2,1,1,Present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/b90079cc/rotterdam/voorberg-nvm-makelaars/request-details,2022-08-10 21:30:26
https://www.pararius.com/apartment-for-rent/rotterdam/fe3466b5/lisstraat,Apartment Lisstraat,3037 RA (Liskwartier),1075,50,3,Upholstered,Nice upholstered apartment with balcony for rent in Rotterdam with 2 bedrooms in the Liskwartier district.,10-08-2022,consultation,Specifics are not available,Reasonable,132,Apartment,Existing building,1941,Location type is not available,2,1,1,Present,Not present,Present,Box,Yes,https://www.pararius.com/contact/fe3466b5/rotterdam/voorberg-nvm-makelaars/request-details,2022-08-10 21:30:28
https://www.pararius.com/apartment-for-rent/rotterdam/dcf641ef/nieuwenhoornstraat,Apartment Nieuwenhoornstraat,3082 VK (Oud Charlois),950,52,2,Upholstered,MAXIMUM OF 1 YEAR!!! Viewing requests only by e-mail!!!  ,10-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,1,1,Number of floors is not available,Not present,Present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/dcf641ef/rotterdam/interhouse-verhuurmakelaars-rotterdam/request-details,2022-08-10 21:30:29
https://www.pararius.com/apartment-for-rent/rotterdam/03293819/hugo-molenaarstraat,Apartment Hugo Molenaarstraat,3022 NS (Nieuwe Westen),1395,108,5,Upholstered,Charming upholstered apartment with balcony for rent in Rotterdam with 3 bedrooms in the Nieuwe Westen district.,10-08-2022,consultation,Specifics are not available,Reasonable,280,Apartment,Existing building,1919,Location type is not available,3,1,2,Present,Not present,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/03293819/rotterdam/voorberg-nvm-makelaars/request-details,2022-08-10 21:30:30
